Ref,Val,Package,PosX,PosY,Rot,Side
"R9","4.7K","R_0402_1005Metric",155.000000,-104.040000,180.000000,bottom
"R10","4.7K","R_0402_1005Metric",155.060000,-105.150000,180.000000,bottom
